x,y,z,qx,qy,qz,qw,speed
89675.6,43167.6,0,0,0,-0.293316,0.956015,10.1944
89677.2,43164.8,0,0,0,-0.505613,0.86276,10.1944
89678.8,43161.9,0,0,0,-0.618422,0.785846,10.1944
89679.4,43159.4,0,0,0,-0.674636,0.738151,10.1944
89679.5,43156.7,0,0,0,-0.828945,0.55933,10.1944
89678.5,43154.4,0,0,0,-0.928063,0.372422,10.1944
89677,43152.3,0,0,0,-0.975353,0.220652,10.1944
89673.8,43150.7,0,0,0,-0.980415,0.196942,10.1944
89671.2,43149.6,0,0,0,-0.97836,0.20691,10.1944
89668,43148.7,0,0,0,-0.994856,0.101295,10.1944
89665,43148.1,0,0,0,-0.939956,0.341294,10.1944
89662.4,43147.2,0,0,0,-0.968383,0.249468,10.1944
89660.5,43145.9,0,0,0,-0.931302,0.364247,10.1944
89658.8,43144.3,0,0,0,-0.890207,0.455557,10.1944
89657.8,43142.2,0,0,0,-0.769373,0.638799,10.1944
89657.3,43139.2,0,0,0,-0.758069,0.652174,10.1944
89656.8,43136,0,0,0,-0.778131,0.628102,10.1944
89656.5,43132.3,0,0,0,-0.816573,0.577242,10.1944
89618.9,43150.5,-3.87871e-05,0,0,-0.230439,0.973087,10.1944
