x,y,z,qx,qy,qz,qw,speed
89677.4,43164.6,0,0,0,-0.548814,0.835945,10.5556
89678.5,43162.5,0,0,0,-0.615412,0.788205,10.5556
89679.3,43160.8,0,0,0,-0.675078,0.737746,10.5556
89679.8,43158.7,0,0,0,-0.847429,0.530908,10.5556
89680,43156.1,0,0,0,-0.878102,0.478473,10.5556
89679.1,43154.2,0,0,0,-0.941795,0.336186,10.5556
89678,43152.5,0,0,0,-0.973249,0.229753,10.5556
89676.1,43150.9,0,0,0,-0.991633,0.129092,10.5556
89673.2,43149.5,0,0,0,-0.987444,0.157969,10.5556
89668.7,43148.3,0,0,0,-0.989789,0.142539,10.5556
89665.8,43147.3,0,0,0,-0.958376,0.285509,10.5556
89662.9,43146.5,0,0,0,-0.914951,0.403566,10.5556
89660.6,43145,0,0,0,-0.860742,0.509042,10.5556
89658.8,43143,0,0,0,-0.806136,0.59173,10.5556
89657.4,43140.5,0,0,0,-0.786434,0.617675,10.5556
89656.6,43137.8,0,0,0,-0.785663,0.618655,10.5556
89655.9,43134.9,0,0,0,-0.74038,0.672189,10.5556
89655.2,43132,0,0,0,-0.84793,0.530109,10.5556
89654.9,43129.3,0,0,0,-0.92388,0.382683,10.5556
89653.3,43125.9,0,0,0,-0.987087,0.160182,10.5556
89651.5,43124.2,0,0,0,-0.998885,0.0472099,10.5556
89648.5,43123.2,0,0,0,0.912061,0.410054,10.5556
89644.4,43122.8,0,0,0,-0.257418,0.9663,10.5556
89614.7,43156.3,0,0,0,-0.850651,0.525731,10.5556
