# s_m; t_s; f_x_fl_N; f_y_fl_N; f_z_fl_N; f_x_fr_N; f_y_fr_N; f_z_fr_N;f_x_rl_N; f_y_rl_N; f_z_rl_N; f_x_rr_N;f_y_rr_N; f_z_rr_N;
216.0; 22.413; -5.1; 197.4; 336.0; -5.1; 329.6; 460.0; 289.7; 241.0; 376.8; 289.7; 299.9; 500.8
219.0; 22.729; -5.1; 4.8; 361.4; -5.1; 21.0; 449.5; 215.0; 331.8; 395.4; 215.0; 395.9; 483.6
222.0; 23.052; -135.5; -290.2; 415.9; -135.5; -300.6; 432.2; -92.1; 344.7; 399.3; -92.1; 359.0; 415.5
225.0; 23.427; -245.7; -374.4; 447.8; -245.7; -305.7; 403.2; -165.5; 102.4; 407.0; -165.5; 97.3; 362.4
228.0; 23.829; -5.1; -413.2; 440.5; -5.1; -276.5; 363.1; -5.1; -0.7; 443.2; -5.1; -0.6; 365.9
231.0; 24.229; -5.1; -433.0; 444.4; -5.1; -231.7; 356.2; -5.1; -71.2; 446.6; -5.1; -68.1; 358.3
234.0; 24.717; -5.1; -438.6; 445.2; -5.1; -192.4; 347.7; 51.7; -136.6; 453.3; 51.7; -132.3; 355.8
237.0; 25.255; -5.1; -435.7; 448.0; -5.1; -253.0; 338.7; 118.0; -169.7; 463.6; 118.0; -160.9; 354.3
240.0; 25.771; -5.1; -443.2; 455.4; -5.1; -267.8; 331.9; 132.4; -224.5; 473.1; 132.4; -200.9; 349.6
243.0; 26.249; -5.1; -453.0; 462.6; -5.1; -222.3; 328.3; 133.4; -285.7; 481.2; 133.4; -237.5; 346.9
246.0; 26.676; -5.1; -377.9; 464.3; -5.1; -178.6; 325.3; 213.5; -364.6; 493.5; 213.5; -282.9; 354.4
249.0; 27.053; -5.1; -73.2; 447.0; -5.1; -23.5; 351.3; 193.8; -395.2; 475.4; 193.8; -326.5; 379.7
252.0; 27.392; -5.1; 260.6; 410.2; -5.1; 245.9; 388.3; 258.6; -353.8; 447.3; 258.6; -337.9; 425.5
255.0; 27.757; -215.1; 335.5; 403.1; -215.1; 389.0; 446.8; -145.1; -132.2; 369.0; -145.1; -140.9; 412.7
258.0; 28.194; -5.1; 285.6; 362.9; -5.1; 409.8; 444.8; -5.1; 13.5; 366.6; -5.1; 14.8; 448.5
261.0; 28.630; -5.1; 230.7; 354.2; -5.1; 426.7; 450.2; -5.1; 96.2; 357.1; -5.1; 105.0; 453.2
264.0; 29.033; -5.1; 180.5; 349.1; -5.1; 434.6; 450.6; 21.1; 143.8; 354.5; 21.1; 155.6; 456.1
267.0; 29.419; -5.1; 312.7; 322.9; -5.1; 440.3; 451.9; 309.7; 187.0; 361.8; 309.7; 219.0; 490.8
270.0; 29.828; -5.1; 314.3; 319.3; -5.1; 454.7; 468.0; 256.8; 243.3; 353.7; 256.8; 308.0; 502.4
273.0; 30.229; -5.1; 313.6; 317.9; -5.1; 467.1; 479.2; 215.9; 274.3; 349.0; 215.9; 366.2; 510.4
276.0; 30.591; -5.1; 314.0; 317.8; -5.1; 474.3; 486.1; 191.6; 289.4; 347.1; 191.6; 398.3; 515.5
279.0; 30.937; -5.1; 314.8; 318.2; -5.1; 478.3; 490.5; 179.2; 297.1; 347.0; 179.2; 415.8; 519.2
282.0; 31.290; -11.6; 312.7; 329.1; -11.6; 488.1; 496.9; -9.4; 279.2; 335.4; -9.4; 388.9; 503.2
285.0; 31.623; -234.3; 109.0; 366.1; -234.3; 369.4; 485.5; -144.8; 296.3; 329.8; -144.8; 377.2; 449.1
288.0; 31.987; -160.7; -55.4; 373.2; -160.7; 120.0; 458.6; -108.8; 328.5; 347.3; -108.8; 393.4; 432.7
291.0; 32.421; -5.1; -160.4; 379.1; -5.1; -165.2; 396.4; 353.6; 234.0; 424.0; 353.6; 239.3; 441.3
294.0; 32.869; -160.8; -312.1; 429.6; -160.8; -256.6; 401.6; -108.9; 136.7; 403.4; -108.9; 134.4; 375.4
297.0; 33.314; -5.1; -368.0; 431.1; -5.1; -180.7; 368.4; -5.1; -5.7; 433.0; -5.1; -5.6; 370.3
300.0; 33.784; -5.1; -403.8; 434.5; -5.1; -116.1; 356.9; 62.9; -91.5; 443.8; 62.9; -90.2; 366.1
303.0; 34.231; -5.1; -435.0; 441.8; -5.1; -274.4; 333.9; 256.4; -138.8; 473.7; 256.4; -126.4; 365.7
306.0; 34.650; -5.1; -445.6; 456.6; -5.1; -277.8; 323.2; 298.0; -248.3; 494.9; 298.0; -204.7; 361.6
309.0; 35.046; -5.1; -414.6; 466.1; -5.1; -239.9; 326.1; 266.3; -313.8; 502.9; 266.3; -246.6; 362.9
312.0; 35.385; -5.1; -399.5; 470.5; -5.1; -241.5; 329.6; 269.4; -323.7; 509.5; 269.4; -251.6; 368.6
315.0; 35.695; -5.1; -455.8; 479.0; -5.1; -298.6; 327.5; 280.5; -315.9; 520.9; 280.5; -240.4; 369.4
