x,y,z,qx,qy,qz,qw,speed
89640.700000,43137.200000,0.000000,0,0,0.855458,0.517873,8.333330
89642.800000,43136.900000,0.000000,0,0,0.882001,0.471247,8.333330
89644.900000,43137.600000,0.000000,0,0,0.909974,0.414665,8.333330
89646.700000,43139.200000,0.000000,0,0,0.931912,0.362684,8.333330
89647.600000,43141.300000,0.000000,0,0,0.899436,0.437053,8.333330
89647.700000,43145.100000,0.000000,0,0,0.904818,0.425798,8.333330
89646.300000,43147.800000,0.000000,0,0,0.909045,0.416698,8.333330
89644.900000,43150.500000,0.000000,0,0,0.911257,0.411839,8.333330
89643.200000,43153.100000,0.000000,0,0,0.906128,0.423003,8.333330
89641.400000,43155.100000,0.000000,0,0,0.896159,0.443734,8.333330
89639.500000,43156.900000,0.000000,0,0,0.910751,0.412956,8.333330
89637.600000,43159.200000,0.000000,0,0,0.926643,0.375943,8.333330
89635.700000,43161.500000,0.000000,0,0,0.941253,0.337701,8.333330
89633.800000,43163.800000,0.000000,0,0,0.845594,0.533826,8.333330
89631.800000,43166.000000,0.000000,0,0,0.678018,0.735046,8.333330
89629.900000,43168.300000,0.000000,0,0,0.563098,0.82639,8.333330
89628.100000,43170.700000,0.000000,0,0,0.328683,0.94444,8.333330
89626.200000,43172.900000,0.000000,0,0,0.129383,0.991595,8.333330
89623.900000,43175.000000,0.000000,0,0,-0.0738567,0.997269,8.333330
89621.600000,43176.900000,0.000000,0,0,-0.257591,0.966254,8.333330
89620.200000,43179.900000,0.000000,0,0,-0.307613,0.951512,8.333330
89620.500000,43182.800000,0.000000,0,0,-0.285239,0.958457,8.333330
89621.500000,43185.500000,0.000000,0,0,-0.163097,0.98661,8.333330
89623.900000,43187.400000,0.000000,0,0,-0.0102367,0.999948,8.333330
89626.700000,43188.200000,0.000000,0,0,0.0930897,0.995658,8.333330
89629.700000,43187.700000,0.000000,0,0,0.178075,0.984017,8.333330
89632.100000,43186.300000,0.000000,0,0,0.241111,0.970498,8.333330
89634.600000,43184.500000,0.000000,0,0,0.233975,0.972243,8.333330
89637.200000,43182.800000,0.000000,0,0,0.197508,0.980301,8.333330
89640.000000,43181.900000,0.000000,0,0,0.056364,0.99841,8.333330
89642.900000,43181.800000,0.000000,0,0,-0.145469,0.989363,8.333330
89645.800000,43182.400000,0.000000,0,0,-0.42261,0.906311,8.333330
89648.600000,43183.400000,0.000000,0,0,-0.61422,0.789135,8.333330
89651.300000,43184.800000,0.000000,0,0,-0.72301,0.690837,8.333330
89654.000000,43186.200000,0.000000,0,0,-0.883558,0.468321,8.333330
89656.700000,43187.300000,0.000000,0,0,-0.980175,0.198135,8.333330
89659.600000,43187.700000,0.000000,0,0,-0.997178,0.0750719,8.333330
89662.500000,43186.800000,0.000000,0,0,-0.997254,0.0740582,8.333330
89663.800000,43185.200000,0.000000,0,0,-0.999403,0.0345591,8.333330
89664.600000,43182.000000,0.000000,0,0,-0.98346,0.181125,8.333330
89664.500000,43179.300000,0.000000,0,0,-0.947133,0.320841,8.333330
89663.000000,43177.100000,0.000000,0,0,-0.835952,0.548803,8.333330
89660.200000,43175.900000,0.000000,0,0,-0.642321,0.766436,8.333330
89657.200000,43175.400000,0.000000,0,0,-0.476306,0.87928,8.333330
89654.300000,43175.000000,0.000000,0,0,-0.402601,0.915376,8.333330
