x,y,z,qx,qy,qz,qw,speed
89616.400000,43150.300000,0.000000,0,0,0.0957612,0.995404,1.555556
89614.900000,43152.800000,0.000000,0,0,-0.171466,0.98519,1.555556
89613.500000,43155.500000,0.000000,0,0,-0.372298,0.928113,1.555556
89612.700000,43158.300000,0.000000,0,0,-0.433472,0.901167,1.555556
89612.700000,43161.300000,0.000000,0,0,-0.50772,0.861522,1.555556
89613.800000,43164.100000,0.000000,0,0,-0.535709,0.844403,1.555556
89616.000000,43165.900000,0.000000,0,0,-0.557544,0.830147,1.555556
89619.000000,43166.500000,0.000000,0,0,-0.569087,0.822278,1.555556
89621.700000,43165.500000,0.000000,0,0,-0.477121,0.878837,1.555556
89623.900000,43163.400000,0.000000,0,0,-0.5511,0.834439,1.555556
89625.700000,43161.100000,0.000000,0,0,-0.518683,0.854967,1.555556
89627.200000,43158.500000,0.000000,0,0,-0.49334,0.869836,1.555556
89628.500000,43155.800000,0.000000,0,0,-0.352614,0.935769,1.555556
89629.600000,43153.000000,0.000000,0,0,-0.23237,0.972628,1.555556
89630.600000,43150.200000,0.000000,0,0,-0.0544057,0.998519,1.555556
89632.300000,43147.800000,0.000000,0,0,0.160678,0.987007,1.555556
89633.200000,43145.500000,0.000000,0,0,0.343524,0.939144,1.555556
89634.500000,43143.100000,0.000000,0,0,0.554016,0.832506,1.555556
89636.100000,43140.300000,0.000000,0,0,0.699456,0.714676,1.555556
89638.400000,43138.300000,0.000000,0,0,0.855279,0.518168,1.555556
89640.700000,43137.200000,0.000000,0,0,0.855458,0.517873,1.555556
89642.800000,43136.900000,0.000000,0,0,0.882001,0.471247,1.555556
89644.900000,43137.600000,0.000000,0,0,0.909974,0.414665,1.555556
89646.700000,43139.200000,0.000000,0,0,0.931912,0.362684,1.555556
89647.600000,43141.300000,0.000000,0,0,0.899436,0.437053,1.555556
89647.700000,43145.100000,0.000000,0,0,0.904818,0.425798,1.555556
89646.300000,43147.800000,0.000000,0,0,0.909045,0.416698,1.555556
89644.900000,43150.500000,0.000000,0,0,0.911257,0.411839,1.555556
89643.200000,43153.100000,0.000000,0,0,0.906128,0.423003,1.555556
89641.400000,43155.100000,0.000000,0,0,0.896159,0.443734,1.555556
89639.500000,43156.900000,0.000000,0,0,0.910751,0.412956,1.555556
89637.600000,43159.200000,0.000000,0,0,0.926643,0.375943,1.555556
89635.700000,43161.500000,0.000000,0,0,0.941253,0.337701,1.555556
89633.800000,43163.800000,0.000000,0,0,0.845594,0.533826,1.555556
89631.800000,43166.000000,0.000000,0,0,0.678018,0.735046,1.555556
